大阪府,4297174,3334659,3857047,4618308,5504746,6657189,7464961,8108360,8295801,8653300,8557249,8603130,8633901,8640236,8697550,8699000,8697000,8690000
兵庫県,2923249,3057444,3309935,3620947,3906487,4309944,4599673,4918041,5063478,5275600,5326121,5318913,5467653,5504338,5507961,5505000,5496000,5483000
奈良県,620471,779935,763883,776861,781058,825965,925403,1071894,1202655,1303900,1368434,1421770,1434340,1412450,1391395,1387000,1381000,1374000
和歌山県,864087,959999,982113,1006819,1002191,1026975,1038348,1067419,1081999,1086600,1069930,1075666,1065104,1030942,997305,990000,983000,975000
鳥取県,490461,587606,600177,614259,599135,579853,567405,579779,602335,620200,613792,612602,610224,603156,585005,582000,578000,574000
島根県,747119,894267,912551,929066,888886,821620,772000,767357,783143,797500,779317,768865,757072,737753,712516,708000,702000,697000
岡山県,1332647,1619622,1661099,1689800,1670454,1645135,1700064,1806484,1862741,1914100,1917173,1937865,1938268,1942414,1926378,1922000,1919000,1913000
広島県,1804916,2011498,2081967,2149044,2184043,2281146,2422069,2630578,2722521,2820200,2832764,2858462,2855782,2849333,2827820,2824000,2817000,2809000
山口県,1190542,1479244,1540882,1609839,1602207,1543573,1497703,1541072,1572752,1588500,1559181,1542204,1515291,1480129,1439011,1431000,1420000,1408000
徳島県,728748,854811,878511,878109,847274,815115,790845,804784,824433,831400,830753,830479,821369,805743,781300,776000,772000,766000
香川県,748656,917673,946022,943823,918867,900845,906951,960233,998442,1034000,1021571,1023865,1017973,1006383,988786,985000,982000,979000
愛媛県,1164898,1453887,1521878,1540628,1500687,1446384,1416299,1463158,1504298,1533600,1512674,1503411,1488550,1461038,1423425,1416000,1408000,1398000
高知県,714980,848337,873874,882683,854595,812714,786058,807035,829609,843400,823853,814302,811516,793365,761239,755000,749000,742000
福岡県,2755804,3178134,3530169,3859764,4006679,3964611,4004275,4266394,4523770,4753200,4784331,4896451,4984938,5011273,5030961,5038000,5044000,5047000
佐賀県,686117,917797,945082,973749,942874,871885,837063,836326,864052,890700,876300,882320,874068,863046,846146,843000,840000,836000
長崎県,1296883,1531674,1645492,1747596,1760421,1641245,1566634,1568429,1586916,1599500,1558502,1540498,1511864,1472955,1420166,1411000,1402000,1391000
熊本県,1387054,1765726,1827582,1895663,1856192,1770736,1697991,1713300,1788076,1836200,1837612,1855087,1854933,1835575,1809626,1805000,1799000,1793000
大分県,980458,1233651,1252999,1277199,1239655,1187480,1152520,1187299,1225548,1246300,1233612,1227269,1216436,1202682,1187599,1183000,1178000,1170000
宮崎県,824431,1025689,1091427,1139384,1134590,1080692,1050027,1083957,1150321,1183500,1167286,1173631,1167555,1149818,1131381,1127000,1122000,1116000
鹿児島県,1591466,1746305,1804118,2044112,1963104,1853541,1728075,1722732,1783351,1833600,1795908,1791419,1782567,1748272,1700683,1693000,1684000,1674000
沖縄県,592494,,,,,,,1036288,1101062,1177000,1217472,1265783,1311482,1354695,1385104,1393000,1401000,1407000
